['AHAA61842', '安徽国胜大药房连锁有限公司红皖路店', '安徽省合肥市蜀山区湖光路与红皖路交口山湖苑2期\n', '31.8642,117.16772']
['AHAA61845', '安徽国胜大药房连锁有限公司蜀新苑店', '安徽省合肥市蜀山区井岗路蜀新苑东区25幢3号\n', '31.85799,117.17514']
['AHAA61839', '安徽国胜大药房连锁有限公司兴园小区店', '安徽省合肥市高新区兴园小区公建C103号\n', '31.817229999999995,117.20474999999998']
['AHAA61782', '安徽国胜大药房连锁有限公司元一名城店', '安徽省合肥市瑶海区嘉山路元一名城A2-103、104门面\n', '31.888900000000003,117.29085999999998']
['AHAA61862', '安徽国胜大药房连锁有限公司蜀南庭苑店', '安徽省合肥市高新区望江西路619号蜀南庭苑商业街4#107-2\n', '31.82733,117.16632']
['AHAA61775', '安徽国胜大药房连锁有限公司滨湖前城店', '安徽省合肥市经济技术开发区紫蓬路与清潭路交口南艳碧湖花园A17幢108室\n', '31.74957,117.26746']
['AHAA61812', '安徽国胜大药房连锁有限公司葛淝路店', '安徽省合肥市包河区淝河镇葛淝路58号门面房\n', '31.79953,117.36484']
['AHAA61831', '安徽国胜大药房连锁有限公司美和路店', '安徽省合肥市包河区美和路滨湖春天西门8幢107、207号\n', '31.806730000000027,117.30264']
['AHAA61808', '安徽国胜大药房连锁有限公司龙岗店', '安徽省合肥市瑶海区通达南路1#楼103、104号门面\n', '31.86475,117.37009']
['AHAA61769', '安徽省合肥市国胜大药房连锁有限公司濉溪路店', '安徽省合肥市庐阳区濉溪路254号南国花园D段1号门面\n', '31.879419999999996,117.27230999999999']
['AHAA61829', '安徽国胜大药房连锁有限公司祁门路店', '合肥市蜀山区荷花路北6幢1号\n', '31.85382000000002,117.18270000000001']
['AHAA61815', '安徽国胜大药房连锁有限公司五里庙店', '合肥市包河区包河花园中心环4#商铺\n', '31.79506,117.33252']
